Date,Price,Open,High,Low,Volume,Change_Pct
2018-09-20,5467.05,5467.05,5467.05,5467.05,0,-0.9
2018-09-23,5415.24,5415.24,5415.24,5415.24,0,-0.95
2018-09-24,5357.54,5357.54,5357.54,5357.54,0,-1.07
2018-09-25,5386.88,5386.88,5386.88,5386.88,0,0.55
2018-09-26,5390.85,5390.85,5390.85,5390.85,0,0.07
2018-09-27,5342.88,5342.88,5342.88,5342.88,0,-0.89
2018-09-30,5368.95,5368.95,5368.95,5368.95,0,0.49
2018-10-01,5369.91,5369.91,5369.91,5369.91,0,0.02
2018-10-02,5380.93,5380.93,5380.93,5380.93,0,0.21
2018-10-03,5422.65,5422.65,5422.65,5422.65,0,0.78
2018-10-04,5418.27,5418.27,5418.27,5418.27,0,-0.08
2018-10-07,5410.81,5410.81,5410.81,5410.81,0,-0.14
2018-10-08,5440.94,5440.94,5440.94,5440.94,0,0.56
2018-10-09,5455.81,5455.81,5455.81,5455.81,0,0.27
2018-10-10,5436.15,5436.15,5436.15,5436.15,0,-0.36
2018-10-11,5435.01,5435.01,5435.01,5435.01,0,-0.02
2018-10-14,5446.4,5446.4,5446.4,5446.4,0,0.21
2018-10-15,5384.41,5384.41,5384.41,5384.41,0,-1.14
2018-10-16,5399.88,5399.88,5399.88,5399.88,0,0.29
2018-10-17,5380.78,5380.78,5380.78,5380.78,0,-0.35
2018-10-18,5381.51,5381.51,5381.51,5381.51,0,0.01
2018-10-21,5331.16,5331.16,5331.16,5331.16,0,-0.94
2018-10-22,5251.95,5251.95,5251.95,5251.95,0,-1.49
2018-10-23,5252.67,5252.67,5252.67,5252.67,0,0.01
2018-10-24,5276.33,5276.33,5276.33,5276.33,0,0.45
2018-10-25,5282.04,5282.04,5282.04,5282.04,0,0.11
2018-10-28,5212.23,5212.23,5212.23,5212.23,0,-1.32
2018-10-29,5246.51,5246.51,5246.51,5246.51,0,0.66
2018-10-30,5299.07,5299.07,5299.07,5299.07,0,1.0
2018-10-31,5284.12,5284.12,5284.12,5284.12,0,-0.28
2018-11-01,5258.47,5258.47,5258.47,5258.47,0,-0.49
2018-11-04,5238.98,5238.98,5238.98,5238.98,0,-0.37
2018-11-05,5224.94,5224.94,5224.94,5224.94,0,-0.27
2018-11-06,5204.35,5204.35,5204.35,5204.35,0,-0.39
2018-11-07,5242.21,5242.21,5242.21,5242.21,0,0.73
2018-11-08,5259.11,5259.11,5259.11,5259.11,0,0.32
2018-11-11,5278.97,5278.97,5278.97,5278.97,0,0.38
2018-11-12,5239.06,5239.06,5239.06,5239.06,0,-0.76
2018-11-13,5258.58,5258.58,5258.58,5258.58,0,0.37
2018-11-14,5245.58,5245.58,5245.58,5245.58,0,-0.25
2018-11-15,5244.62,5244.62,5244.62,5244.62,0,-0.02
2018-11-18,5256.06,5256.06,5256.06,5256.06,0,0.22
2018-11-19,5257.1,5257.1,5257.1,5257.1,0,0.02
2018-11-20,5298.83,5298.83,5298.83,5298.83,0,0.79
2018-11-22,5305.95,5305.95,5305.95,5305.95,0,0.13
2018-11-25,5276.24,5276.24,5276.24,5276.24,0,-0.56
2018-11-26,5279.25,5279.25,5279.25,5279.25,0,0.06
2018-11-27,5288.54,5288.54,5288.54,5288.54,0,0.18
2018-11-28,5286.72,5286.72,5286.72,5286.72,0,-0.03
2018-11-29,5281.25,5281.25,5281.25,5281.25,0,-0.1
2018-12-02,5290.76,5290.76,5290.76,5290.76,0,0.18
2018-12-03,5296.55,5296.55,5296.55,5296.55,0,0.11
2018-12-04,5345.42,5345.42,5345.42,5345.42,0,0.92
2018-12-05,5361.11,5361.11,5361.11,5361.11,0,0.29
2018-12-06,5332.8,5332.8,5332.8,5332.8,0,-0.53
2018-12-09,5306.22,5306.22,5306.22,5306.22,0,-0.5
2018-12-10,5295.69,5295.69,5295.69,5295.69,0,-0.2
2018-12-11,5275.76,5275.76,5275.76,5275.76,0,-0.38
2018-12-12,5265.84,5265.84,5265.84,5265.84,0,-0.19
2018-12-13,5251.01,5251.01,5251.01,5251.01,0,-0.28
2018-12-17,5218.01,5218.01,5218.01,5218.01,0,-0.63
2018-12-18,5233.59,5233.59,5233.59,5233.59,0,0.3
2018-12-19,5242.56,5242.56,5242.56,5242.56,0,0.17
2018-12-20,5265.31,5265.31,5265.31,5265.31,0,0.43
2018-12-23,5281.77,5281.77,5281.77,5281.77,0,0.31
2018-12-24,5300.09,5300.09,5300.09,5300.09,0,0.35
2018-12-26,5349.18,5349.18,5349.18,5349.18,0,0.93
2018-12-27,5385.64,5385.64,5385.64,5385.64,0,0.68
2019-01-01,5465.25,5465.25,5465.25,5465.25,0,1.48
2019-01-02,5496.43,5496.43,5496.43,5496.43,0,0.57
2019-01-03,5590.47,5590.47,5590.47,5590.47,0,1.71
2019-01-06,5687.0,5687.0,5687.0,5687.0,0,1.73
2019-01-07,5655.18,5655.18,5655.18,5655.18,0,-0.56
2019-01-08,5770.77,5770.77,5770.77,5770.77,0,2.04
2019-01-09,5798.59,5798.59,5798.59,5798.59,0,0.48
2019-01-10,5797.3,5797.3,5797.3,5797.3,0,-0.02
2019-01-13,5860.21,5860.21,5860.21,5860.21,0,1.09
2019-01-14,5836.23,5836.23,5836.23,5836.23,0,-0.41
2019-01-15,5863.27,5863.27,5863.27,5863.27,0,0.46
2019-01-16,5839.48,5839.48,5839.48,5839.48,0,-0.41
2019-01-17,5825.57,5825.57,5825.57,5825.57,0,-0.24
2019-01-20,5887.27,5887.27,5887.27,5887.27,0,1.06
2019-01-21,5859.3,5859.3,5859.3,5859.3,0,-0.48
2019-01-22,5865.46,5865.46,5865.46,5865.46,0,0.11
2019-01-23,5925.24,5925.24,5925.24,5925.24,0,1.02
2019-01-24,5950.01,5950.01,5950.01,5950.01,0,0.42
2019-01-27,5939.45,5939.45,5939.45,5939.45,0,-0.18
2019-01-28,5904.22,5904.22,5904.22,5904.22,0,-0.59
2019-01-29,5924.53,5924.53,5924.53,5924.53,0,0.34
2019-01-30,5884.11,5884.11,5884.11,5884.11,0,-0.68
2019-01-31,5821.01,5821.01,5821.01,5821.01,0,-1.07
2019-02-03,5801.33,5801.33,5801.33,5801.33,0,-0.34
2019-02-04,5828.07,5828.07,5828.07,5828.07,0,0.46
2019-02-05,5800.24,5800.24,5800.24,5800.24,0,-0.48
2019-02-06,5786.0,5786.0,5786.0,5786.0,0,-0.25
2019-02-07,5811.92,5811.92,5811.92,5811.92,0,0.45
2019-02-10,5763.73,5763.73,5763.73,5763.73,0,-0.83
2019-02-11,5733.91,5733.91,5733.91,5733.91,0,-0.52
2019-02-12,5731.95,5731.95,5731.95,5731.95,0,-0.03
2019-02-13,5748.31,5748.31,5748.31,5748.31,0,0.29
2019-02-14,5750.29,5750.29,5750.29,5750.29,0,0.03
2019-02-17,5775.82,5775.82,5775.82,5775.82,0,0.44
2019-02-18,5724.52,5724.52,5724.52,5724.52,0,-0.89
2019-02-19,5735.92,5735.92,5735.92,5735.92,0,0.2
2019-02-20,5745.83,5745.83,5745.83,5745.83,0,0.17
2019-02-24,5714.27,5714.27,5714.27,5714.27,0,-0.55
2019-02-25,5755.79,5755.79,5755.79,5755.79,0,0.73
2019-02-26,5738.64,5738.64,5738.64,5738.64,0,-0.3
2019-02-27,5711.82,5711.82,5711.82,5711.82,0,-0.47
2019-02-28,5711.82,5711.82,5711.82,5711.82,0,0.0
2019-03-03,5723.07,5723.07,5723.07,5723.07,0,0.2
2019-03-04,5682.41,5682.41,5682.41,5682.41,0,-0.71
2019-03-05,5687.48,5687.48,5687.48,5687.48,0,0.09
2019-03-06,5686.38,5686.38,5686.38,5686.38,0,-0.02
2019-03-07,5688.45,5688.45,5688.45,5688.45,0,0.04
2019-03-10,5710.06,5710.06,5710.06,5710.06,0,0.38
2019-03-11,5690.82,5690.82,5690.82,5690.82,0,-0.34
2019-03-12,5682.43,5682.43,5682.43,5682.43,0,-0.15
2019-03-13,5653.21,5653.21,5653.21,5653.21,0,-0.51
2019-03-14,5655.81,5655.81,5655.81,5655.81,0,0.05
2019-03-18,5604.9,5604.9,5604.9,5604.9,0,-0.9
2019-03-19,5631.29,5631.29,5631.29,5631.29,0,0.47
2019-03-20,5600.55,5600.55,5600.55,5600.55,0,-0.55
2019-03-21,5570.15,5570.15,5570.15,5570.15,0,-0.54
2019-03-24,5512.07,5512.07,5512.07,5512.07,0,-1.04
2019-03-25,5530.07,5530.07,5530.07,5530.07,0,0.33
2019-03-27,5502.48,5502.48,5502.48,5502.48,0,-0.5
2019-03-28,5505.49,5505.49,5505.49,5505.49,0,0.05
2019-03-31,5491.9,5491.9,5491.9,5491.9,0,-0.25
2019-04-01,5503.08,5503.08,5503.08,5503.08,0,0.2
2019-04-02,5522.17,5522.17,5522.17,5522.17,0,0.35
